quantity,days_remaining,machine_availability,labour_availability,material_delay_days,base_capacity,required_daily_output,capacity_ratio,risk_class
2107,13,0.8,0.9000000000000001,6,300.0,162.07692307692307,1.3935185185185184,HIGH
2035,21,0.8,0.9000000000000001,1,325.0,96.9047619047619,0.4348290598290598,MEDIUM
2203,5,0.7,0.9000000000000001,4,250.0,440.6,13.987301587301586,HIGH
1828,25,0.9000000000000001,0.9500000000000002,2,250.0,73.12,0.3718281210272056,LOW
1590,13,0.8500000000000001,0.8,0,275.0,122.3076923076923,0.6540518305224187,MEDIUM
1787,19,0.75,0.9500000000000002,6,300.0,94.05263157894737,0.6430949167791272,MEDIUM
2997,12,0.7,0.8,5,300.0,249.75,2.548469387755102,HIGH
1983,17,0.9000000000000001,0.7,6,325.0,116.6470588235294,0.8804528804528804,MEDIUM
2952,19,0.75,0.75,1,250.0,155.3684210526316,1.1662222222222223,HIGH
271,24,0.7,0.8500000000000001,6,325.0,11.291666666666666,0.07785678373913668,MEDIUM
1649,4,0.7,1.0000000000000002,0,250.0,412.25,2.3557142857142854,HIGH
704,3,0.9500000000000002,0.75,0,275.0,234.66666666666666,1.1976608187134499,HIGH
3194,29,0.7,0.9000000000000001,4,250.0,110.13793103448276,0.8111746031746031,MEDIUM
1866,28,1.0000000000000002,1.0000000000000002,2,300.0,66.64285714285714,0.23923076923076916,LOW
2484,18,0.8500000000000001,0.9500000000000002,4,275.0,138.0,0.7990028547304087,MEDIUM
1669,9,0.75,0.9500000000000002,6,300.0,185.44444444444446,2.602729044834308,HIGH
855,21,0.8500000000000001,0.7,1,300.0,40.714285714285715,0.23949579831932774,MEDIUM
1277,6,0.9000000000000001,0.75,6,350.0,212.83333333333334,5.405291005291004,HIGH
2963,23,0.9500000000000002,0.8,6,250.0,128.82608695652175,0.9173374613003092,MEDIUM
2357,7,0.75,0.75,2,325.0,336.7142857142857,2.5785982905982903,HIGH
3190,23,0.7,0.9500000000000002,5,250.0,138.69565217391303,1.0659983291562238,MEDIUM
1437,18,0.7,0.7,2,350.0,79.83333333333333,0.5236880466472305,MEDIUM
2922,7,0.8500000000000001,0.8500000000000001,3,350.0,417.42857142857144,2.888779041028175,HIGH
1274,12,0.8500000000000001,1.0000000000000002,4,300.0,106.16666666666667,0.6245098039215684,MEDIUM
507,21,0.7,0.7,5,325.0,24.142857142857142,0.19897959183673472,MEDIUM
1843,16,0.7,0.7,3,275.0,115.1875,1.0520907663764807,MEDIUM
2088,27,0.8500000000000001,0.8,4,325.0,77.33333333333333,0.41078103482195544,MEDIUM
2980,21,0.9500000000000002,0.8500000000000001,6,275.0,141.9047619047619,0.894643024673984,MEDIUM
3215,21,0.9000000000000001,0.8500000000000001,2,300.0,153.0952380952381,0.7373007682605204,LOW
2599,26,0.9500000000000002,0.7,4,250.0,99.96153846153847,0.7105946684894052,MEDIUM
647,16,0.9500000000000002,0.9500000000000002,2,350.0,40.4375,0.1463056136582056,LOW
947,16,0.8,1.0000000000000002,3,300.0,59.1875,0.30352564102564095,MEDIUM
2124,13,0.9000000000000001,1.0000000000000002,0,250.0,163.3846153846154,0.7261538461538459,LOW
2923,4,0.9000000000000001,0.9000000000000001,4,275.0,730.75,13.122334455667785,HIGH
3117,20,1.0000000000000002,0.75,0,300.0,155.85,0.6926666666666664,MEDIUM
329,24,0.9500000000000002,0.8,2,250.0,13.708333333333334,0.07870813397129184,MEDIUM
912,12,0.7,0.9500000000000002,6,325.0,76.0,0.7032967032967034,MEDIUM
1152,30,0.75,0.75,2,325.0,38.4,0.22505494505494508,MEDIUM
